,Time,Time,Price,Price,Sym,Dir,Size,Sink,Cause,Points,Points,Points,Profit,Profit,Profit,Return,Return,Margin,Margin,Margin
,Open,Close,Open,Close,,,,,, ,Σ,Sink, ,Σ,Abs.DD, ,Rel.DD, ,Σ,Level
0,2020-08-11 09:40:00-04:00,2020-08-11 09:45:00-04:00,448.7,449.67499999999995,AAPL,S,1.1111598723044418,449.85,SL,-98,-98,115,-108.9,9891.1,0.0,-1.09%,0.0%,166.19,575.08,1718%
1,2020-08-11 09:45:00-04:00,2020-08-11 10:00:00-04:00,448.6,445.825,AAPL,S,1.0560064843118229,449.26,SP,277,179,65,289.32,10180.43,0.0,2.92%,0.0%,157.9,566.8,1732%
2,2020-08-11 10:35:00-04:00,2020-08-11 11:05:00-04:00,446.15,447.11,AAPL,S,1.206588417570592,448.08,SL,-97,82,193,-120.51,10059.93,120.5,-1.19%,1.18%,179.43,588.33,1697%
3,2020-08-11 09:35:00-04:00,2020-08-11 15:05:00-04:00,448.87,441.66999999999996,AAPL,S,2.732831925666233,449.85,SP,720,802,98,1945.02,12004.95,0.0,19.33%,0.0%,408.89,408.89,2436%
4,2020-08-11 14:10:00-04:00,2020-08-11 15:15:00-04:00,444.25,440.395,AAPL,S,1.695101609049695,444.75,SP,385,1187,50,780.17,12785.13,0.0,6.49%,0.0%,251.01,659.91,1811%
5,2020-08-11 15:25:00-04:00,2020-08-11 15:35:00-04:00,441.39,438.07499999999993,AAPL,S,1.422586821562986,441.39,SP,331,1518,0,496.41,13281.54,0.0,3.88%,0.0%,209.3,489.87,2609%
6,2020-08-11 15:15:00-04:00,2020-08-11 15:40:00-04:00,441.95,437.525,AAPL,S,1.9045161739255378,441.95,SP,442,1960,0,873.03,14154.58,0.0,6.57%,0.0%,280.56,489.87,2711%
7,2020-08-12 09:35:00-04:00,2020-08-12 09:40:00-04:00,442.5,441.63,AAPL,L,1.063140134845984,441.19,SL,-88,1872,131,-99.55,14055.04,99.54,-0.71%,0.7%,156.81,436.08,3215%
8,2020-08-12 09:40:00-04:00,2020-08-12 09:45:00-04:00,442.59,441.505,AAPL,L,1.5058770126477667,441.34,SL,-109,1763,125,-163.05,13892.0,262.58,-1.17%,1.85%,222.16,501.42,2778%
