Date,NAV
01-Jan-16,790.50
04-Jan-16,782.95
05-Jan-16,776.90
06-Jan-16,783.35
07-Jan-16,761.21
08-Jan-16,757.70
11-Jan-16,755.70
12-Jan-16,754.65
13-Jan-16,752.60
14-Jan-16,754.30
15-Jan-16,747.55
18-Jan-16,740.00
19-Jan-16,740.10
20-Jan-16,733.95
21-Jan-16,734.00
22-Jan-16,738.15
25-Jan-16,745.70
27-Jan-16,746.04
28-Jan-16,745.00
29-Jan-16,752.50
01-Feb-16,755.10
02-Feb-16,753.37
04-Feb-16,742.48
05-Feb-16,746.75
08-Feb-16,750.00
09-Feb-16,733.40
10-Feb-16,729.39
11-Feb-16,701.49
12-Feb-16,699.37
15-Feb-16,716.62
16-Feb-16,702.55
17-Feb-16,707.55
18-Feb-16,718.00
19-Feb-16,721.00
22-Feb-16,722.90
23-Feb-16,712.44
24-Feb-16,703.00
25-Feb-16,698.00
26-Feb-16,705.50
29-Feb-16,698.11
01-Mar-16,724.50
02-Mar-16,734.91
03-Mar-16,746.59
04-Mar-16,745.95
08-Mar-16,748.95
09-Mar-16,751.54
10-Mar-16,751.74
11-Mar-16,750.40
14-Mar-16,756.35
15-Mar-16,750.41
16-Mar-16,745.00
17-Mar-16,751.01
18-Mar-16,758.25
21-Mar-16,764.38
22-Mar-16,773.90
23-Mar-16,775.50
28-Mar-16,769.37
29-Mar-16,763.94
30-Mar-16,772.93
31-Mar-16,779.90
01-Apr-16,768.00
04-Apr-16,778.00
05-Apr-16,760.79
06-Apr-16,765.09
07-Apr-16,756.66
08-Apr-16,759.95
11-Apr-16,766.00
12-Apr-16,771.35
13-Apr-16,783.16
18-Apr-16,788.83
20-Apr-16,789.10
21-Apr-16,789.85
22-Apr-16,789.60
25-Apr-16,784.55
26-Apr-16,798.15
27-Apr-16,794.70
28-Apr-16,802.35
29-Apr-16,791.00
02-May-16,783.29
03-May-16,772.06
04-May-16,775.79
05-May-16,775.34
06-May-16,772.09
09-May-16,788.84
10-May-16,786.85
11-May-16,783.35
12-May-16,787.85
13-May-16,783.00
16-May-16,783.90
17-May-16,786.30
18-May-16,784.50
19-May-16,786.53
20-May-16,782.09
23-May-16,779.65
24-May-16,776.71
25-May-16,789.08
26-May-16,806.50
27-May-16,814.45
30-May-16,821.10
31-May-16,816.50
01-Jun-16,824.50
02-Jun-16,822.55
03-Jun-16,824.05
06-Jun-16,819.95
07-Jun-16,827.50
08-Jun-16,830.00
09-Jun-16,824.00
10-Jun-16,823.45
13-Jun-16,813.84
14-Jun-16,814.71
15-Jun-16,823.00
16-Jun-16,813.23
17-Jun-16,820.05
20-Jun-16,825.50
21-Jun-16,826.23
22-Jun-16,823.65
23-Jun-16,828.30
24-Jun-16,812.46
27-Jun-16,814.10
28-Jun-16,815.56
29-Jun-16,825.29
30-Jun-16,832.27
01-Jul-16,837.05
04-Jul-16,841.03
05-Jul-16,840.00
07-Jul-16,844.55
08-Jul-16,840.22
11-Jul-16,849.40
12-Jul-16,851.64
13-Jul-16,858.20
14-Jul-16,858.54
15-Jul-16,862.99
18-Jul-16,860.35
19-Jul-16,853.45
20-Jul-16,860.00
21-Jul-16,860.00
22-Jul-16,857.10
25-Jul-16,861.37
26-Jul-16,866.80
27-Jul-16,862.65
28-Jul-16,871.41
29-Jul-16,873.36
01-Aug-16,870.09
02-Aug-16,866.81
03-Aug-16,863.20
04-Aug-16,866.00
05-Aug-16,875.60
08-Aug-16,875.00
09-Aug-16,871.91
10-Aug-16,910.45
11-Aug-16,867.12
12-Aug-16,874.30
16-Aug-16,875.90
17-Aug-16,872.75
18-Aug-16,878.80
19-Aug-16,871.05
22-Aug-16,874.35
23-Aug-16,880.00
24-Aug-16,874.90
25-Aug-16,868.10
26-Aug-16,868.50
29-Aug-16,869.35
30-Aug-16,880.70
31-Aug-16,888.00
01-Sep-16,888.40
02-Sep-16,885.80
06-Sep-16,898.20
07-Sep-16,896.10
08-Sep-16,904.75
09-Sep-16,895.00
12-Sep-16,882.84
14-Sep-16,882.83
15-Sep-16,885.00
16-Sep-16,887.18
19-Sep-16,890.49
20-Sep-16,889.35
21-Sep-16,890.75
22-Sep-16,895.54
23-Sep-16,895.05
26-Sep-16,883.50
27-Sep-16,881.00
28-Sep-16,886.95
29-Sep-16,871.10
30-Sep-16,865.00
03-Oct-16,882.00
04-Oct-16,885.87
05-Oct-16,884.26
06-Oct-16,882.29
07-Oct-16,879.36
10-Oct-16,880.52
13-Oct-16,864.77
14-Oct-16,866.49
17-Oct-16,860.52
18-Oct-16,876.00
19-Oct-16,876.89
20-Oct-16,878.20
21-Oct-16,873.77
24-Oct-16,880.33
25-Oct-16,878.60
26-Oct-16,870.88
27-Oct-16,867.25
28-Oct-16,873.00
30-Oct-16,872.00
01-Nov-16,870.72
02-Nov-16,862.20
03-Nov-16,861.07
04-Nov-16,855.50
07-Nov-16,858.39
08-Nov-16,858.11
09-Nov-16,855.42
10-Nov-16,866.00
11-Nov-16,843.34
15-Nov-16,828.61
16-Nov-16,820.03
17-Nov-16,818.17
18-Nov-16,818.80
21-Nov-16,803.72
22-Nov-16,808.00
23-Nov-16,814.21
24-Nov-16,809.40
25-Nov-16,820.45
28-Nov-16,822.46
29-Nov-16,827.75
30-Nov-16,830.50
01-Dec-16,832.00
02-Dec-16,821.69
05-Dec-16,824.82
06-Dec-16,826.00
07-Dec-16,820.85
08-Dec-16,835.00
09-Dec-16,837.00
12-Dec-16,828.24
13-Dec-16,828.20
14-Dec-16,830.03
15-Dec-16,827.23
16-Dec-16,824.00
19-Dec-16,823.00
20-Dec-16,820.37
21-Dec-16,819.00
22-Dec-16,808.00
