Date,NAV
01-Jan-16,80.51
04-Jan-16,79.30
05-Jan-16,78.86
06-Jan-16,78.68
07-Jan-16,77.28
08-Jan-16,77.56
11-Jan-16,76.73
12-Jan-16,76.30
13-Jan-16,76.48
14-Jan-16,76.24
15-Jan-16,75.57
18-Jan-16,74.72
19-Jan-16,75.12
20-Jan-16,74.07
21-Jan-16,74.04
22-Jan-16,75.16
25-Jan-16,75.26
27-Jan-16,75.33
28-Jan-16,75.41
29-Jan-16,76.45
01-Feb-16,76.42
02-Feb-16,75.71
03-Feb-16,74.55
04-Feb-16,75.00
05-Feb-16,76.10
08-Feb-16,75.48
09-Feb-16,74.03
10-Feb-16,73.08
11-Feb-16,70.65
12-Feb-16,70.48
15-Feb-16,72.48
16-Feb-16,71.47
17-Feb-16,71.94
18-Feb-16,73.11
19-Feb-16,73.00
22-Feb-16,73.35
23-Feb-16,72.20
24-Feb-16,71.19
25-Feb-16,70.70
26-Feb-16,71.30
29-Feb-16,71.02
01-Mar-16,72.79
02-Mar-16,74.60
03-Mar-16,75.53
04-Mar-16,75.70
08-Mar-16,76.17
09-Mar-16,76.09
10-Mar-16,75.70
11-Mar-16,76.33
14-Mar-16,76.36
15-Mar-16,75.58
16-Mar-16,75.99
17-Mar-16,76.04
18-Mar-16,76.73
21-Mar-16,78.00
22-Mar-16,78.37
23-Mar-16,78.75
28-Mar-16,77.70
29-Mar-16,77.43
30-Mar-16,79.11
31-Mar-16,78.63
01-Apr-16,78.80
04-Apr-16,79.10
05-Apr-16,77.50
06-Apr-16,77.40
07-Apr-16,76.75
08-Apr-16,77.03
11-Apr-16,77.87
12-Apr-16,78.14
13-Apr-16,79.46
18-Apr-16,80.06
20-Apr-16,80.29
21-Apr-16,80.17
22-Apr-16,80.10
25-Apr-16,79.81
26-Apr-16,80.86
27-Apr-16,80.91
28-Apr-16,80.47
29-Apr-16,79.68
02-May-16,79.50
03-May-16,79.61
04-May-16,78.71
05-May-16,77.70
06-May-16,77.53
09-May-16,78.87
10-May-16,79.22
11-May-16,78.88
12-May-16,79.36
13-May-16,78.58
16-May-16,79.01
17-May-16,79.30
18-May-16,79.00
19-May-16,78.19
20-May-16,77.94
23-May-16,77.73
24-May-16,77.95
25-May-16,79.41
26-May-16,80.52
27-May-16,81.78
30-May-16,81.61
31-May-16,81.80
01-Jun-16,81.99
02-Jun-16,82.19
03-Jun-16,82.50
06-Jun-16,82.30
07-Jun-16,82.80
08-Jun-16,82.90
09-Jun-16,82.46
10-Jun-16,82.08
13-Jun-16,81.40
14-Jun-16,81.49
15-Jun-16,82.30
16-Jun-16,81.81
17-Jun-16,81.93
20-Jun-16,82.61
21-Jun-16,82.60
22-Jun-16,82.75
23-Jun-16,83.07
24-Jun-16,81.61
27-Jun-16,81.40
28-Jun-16,81.94
29-Jun-16,82.29
30-Jun-16,83.24
01-Jul-16,83.60
04-Jul-16,84.10
05-Jul-16,83.74
07-Jul-16,83.85
08-Jul-16,83.62
11-Jul-16,85.06
12-Jul-16,85.45
13-Jul-16,85.48
14-Jul-16,86.07
15-Jul-16,85.89
18-Jul-16,85.56
19-Jul-16,85.65
20-Jul-16,86.08
21-Jul-16,85.64
22-Jul-16,85.84
25-Jul-16,86.74
26-Jul-16,86.29
27-Jul-16,86.79
28-Jul-16,87.16
29-Jul-16,87.11
01-Aug-16,87.05
02-Aug-16,86.85
03-Aug-16,86.38
04-Aug-16,86.24
05-Aug-16,87.24
08-Aug-16,88.03
09-Aug-16,87.74
10-Aug-16,86.43
11-Aug-16,86.38
12-Aug-16,87.29
16-Aug-16,87.04
17-Aug-16,86.77
18-Aug-16,87.21
19-Aug-16,87.14
22-Aug-16,86.76
23-Aug-16,86.98
24-Aug-16,87.09
25-Aug-16,86.74
26-Aug-16,86.39
29-Aug-16,86.72
30-Aug-16,87.96
31-Aug-16,88.65
01-Sep-16,88.40
02-Sep-16,88.67
06-Sep-16,89.97
07-Sep-16,90.05
08-Sep-16,90.42
09-Sep-16,89.68
12-Sep-16,87.95
14-Sep-16,88.37
15-Sep-16,88.46
16-Sep-16,88.59
19-Sep-16,88.80
20-Sep-16,88.66
21-Sep-16,88.70
22-Sep-16,89.41
23-Sep-16,89.30
26-Sep-16,88.48
27-Sep-16,87.97
28-Sep-16,88.36
29-Sep-16,87.25
30-Sep-16,86.82
03-Oct-16,88.49
04-Oct-16,88.58
05-Oct-16,88.40
06-Oct-16,88.05
07-Oct-16,88.00
10-Oct-16,88.19
13-Oct-16,87.20
14-Oct-16,86.99
17-Oct-16,86.80
18-Oct-16,87.80
19-Oct-16,87.56
20-Oct-16,87.91
21-Oct-16,87.94
24-Oct-16,88.13
25-Oct-16,88.19
26-Oct-16,87.28
27-Oct-16,87.19
28-Oct-16,87.49
30-Oct-16,87.50
01-Nov-16,87.40
02-Nov-16,86.34
03-Nov-16,86.03
04-Nov-16,85.50
07-Nov-16,86.29
08-Nov-16,86.47
09-Nov-16,85.58
10-Nov-16,86.43
11-Nov-16,84.33
15-Nov-16,82.38
16-Nov-16,82.01
17-Nov-16,81.73
18-Nov-16,81.72
21-Nov-16,80.45
22-Nov-16,81.02
23-Nov-16,81.39
24-Nov-16,80.87
25-Nov-16,82.01
28-Nov-16,82.20
29-Nov-16,82.43
30-Nov-16,83.22
01-Dec-16,82.78
02-Dec-16,81.77
05-Dec-16,82.36
06-Dec-16,82.31
07-Dec-16,81.72
08-Dec-16,83.24
09-Dec-16,83.33
12-Dec-16,83.21
13-Dec-16,83.18
14-Dec-16,82.73
15-Dec-16,82.70
16-Dec-16,82.59
19-Dec-16,82.15
20-Dec-16,82.00
21-Dec-16,81.75
22-Dec-16,80.81
23-Dec-16,80.71
26-Dec-16,80.15
27-Dec-16,81.19
28-Dec-16,81.56
29-Dec-16,81.90
30-Dec-16,82.56
02-Jan-17,82.76
03-Jan-17,82.80
04-Jan-17,82.90
05-Jan-17,83.70
06-Jan-17,83.41
09-Jan-17,83.24
10-Jan-17,83.60
11-Jan-17,84.57
12-Jan-17,84.88
13-Jan-17,84.93
16-Jan-17,85.14
17-Jan-17,85.00
18-Jan-17,85.00
19-Jan-17,85.28
20-Jan-17,84.81
23-Jan-17,85.11
24-Jan-17,85.73
25-Jan-17,86.61
27-Jan-17,87.24
30-Jan-17,87.63
31-Jan-17,86.95
01-Feb-17,88.34
02-Feb-17,88.28
03-Feb-17,88.11
06-Feb-17,88.78
07-Feb-17,88.65
08-Feb-17,88.55
09-Feb-17,88.73
10-Feb-17,88.73
13-Feb-17,88.88
14-Feb-17,88.91
15-Feb-17,88.16
16-Feb-17,88.56
17-Feb-17,89.08
20-Feb-17,89.60
21-Feb-17,89.93
22-Feb-17,90.43
23-Feb-17,90.39
27-Feb-17,90.24
28-Feb-17,89.85
01-Mar-17,90.37
02-Mar-17,90.03
03-Mar-17,89.93
06-Mar-17,90.53
07-Mar-17,90.84
08-Mar-17,90.13
09-Mar-17,89.47
10-Mar-17,89.58
14-Mar-17,90.88
15-Mar-17,91.00
16-Mar-17,91.48
17-Mar-17,91.46
20-Mar-17,91.20
21-Mar-17,91.20
22-Mar-17,90.52
23-Mar-17,90.89
24-Mar-17,91.13
27-Mar-17,90.66
28-Mar-17,91.05
29-Mar-17,91.58
30-Mar-17,92.06
31-Mar-17,91.56
03-Apr-17,92.35
05-Apr-17,92.64
06-Apr-17,92.44
07-Apr-17,92.11
10-Apr-17,92.15
11-Apr-17,92.57
12-Apr-17,92.04
13-Apr-17,91.92
17-Apr-17,91.66
18-Apr-17,91.42
19-Apr-17,91.28
20-Apr-17,91.50
21-Apr-17,91.36
24-Apr-17,92.20
25-Apr-17,93.08
26-Apr-17,93.46
27-Apr-17,93.75
28-Apr-17,93.40
02-May-17,93.73
03-May-17,93.45
04-May-17,93.85
05-May-17,92.91
08-May-17,93.23
09-May-17,93.30
10-May-17,94.15
11-May-17,94.15
12-May-17,94.17
15-May-17,94.41
16-May-17,95.21
17-May-17,95.36
18-May-17,94.57
19-May-17,94.35
22-May-17,94.67
23-May-17,94.07
24-May-17,93.58
25-May-17,95.05
26-May-17,95.77
29-May-17,96.10
30-May-17,96.29
31-May-17,96.71
01-Jun-17,96.50
02-Jun-17,96.72
05-Jun-17,97.06
06-Jun-17,96.97
07-Jun-17,97.00
08-Jun-17,97.09
09-Jun-17,97.10
12-Jun-17,96.70
13-Jun-17,96.69
14-Jun-17,96.70
15-Jun-17,96.55
16-Jun-17,96.36
19-Jun-17,96.96
20-Jun-17,96.94
21-Jun-17,96.80
22-Jun-17,96.74
23-Jun-17,96.23
27-Jun-17,95.56
28-Jun-17,95.39
29-Jun-17,96.07
30-Jun-17,95.82
03-Jul-17,96.60
04-Jul-17,96.74
05-Jul-17,96.77
06-Jul-17,97.02
07-Jul-17,97.08
10-Jul-17,98.12
11-Jul-17,98.53
12-Jul-17,98.60
13-Jul-17,99.15
14-Jul-17,99.43
17-Jul-17,99.83
18-Jul-17,99.45
19-Jul-17,100.03
20-Jul-17,99.93
21-Jul-17,99.84
24-Jul-17,100.59
25-Jul-17,100.40
26-Jul-17,100.99
27-Jul-17,101.18
28-Jul-17,100.70
31-Jul-17,101.85
01-Aug-17,102.07
02-Aug-17,101.80
03-Aug-17,101.34
04-Aug-17,101.70
07-Aug-17,101.50
08-Aug-17,100.59
09-Aug-17,99.98
10-Aug-17,99.47
11-Aug-17,98.07
14-Aug-17,98.54
16-Aug-17,99.87
17-Aug-17,100.26
18-Aug-17,99.62
21-Aug-17,98.70
22-Aug-17,98.99
23-Aug-17,99.38
24-Aug-17,99.69
28-Aug-17,99.93
29-Aug-17,99.16
30-Aug-17,99.60
31-Aug-17,99.83
01-Sep-17,100.62
04-Sep-17,99.99
05-Sep-17,100.57
06-Sep-17,100.14
07-Sep-17,100.38
08-Sep-17,100.55
11-Sep-17,101.11
12-Sep-17,101.87
13-Sep-17,102.06
14-Sep-17,102.13
15-Sep-17,101.68
18-Sep-17,102.48
19-Sep-17,102.50
20-Sep-17,102.43
21-Sep-17,102.28
22-Sep-17,100.91
25-Sep-17,99.76
26-Sep-17,99.45
27-Sep-17,98.56
28-Sep-17,98.63
29-Sep-17,98.81
03-Oct-17,99.62
04-Oct-17,99.90
05-Oct-17,99.96
06-Oct-17,100.80
09-Oct-17,101.06
10-Oct-17,101.22
11-Oct-17,100.72
12-Oct-17,101.84
13-Oct-17,102.91
16-Oct-17,103.34
17-Oct-17,103.35
18-Oct-17,103.34
19-Oct-17,102.48
23-Oct-17,102.45
24-Oct-17,103.00
25-Oct-17,103.74
26-Oct-17,104.03
27-Oct-17,104.05
30-Oct-17,104.69
31-Oct-17,104.28
01-Nov-17,105.40
02-Nov-17,105.35
03-Nov-17,105.99
06-Nov-17,105.64
07-Nov-17,105.12
08-Nov-17,104.08
09-Nov-17,104.40
10-Nov-17,104.22
