Date,NAV
01-Jan-16,794.05
04-Jan-16,785.62
05-Jan-16,784.75
06-Jan-16,779.30
07-Jan-16,763.60
08-Jan-16,765.80
11-Jan-16,760.35
12-Jan-16,757.10
13-Jan-16,758.50
14-Jan-16,758.50
15-Jan-16,749.00
18-Jan-16,741.03
19-Jan-16,748.15
20-Jan-16,735.95
21-Jan-16,736.00
22-Jan-16,748.70
25-Jan-16,744.50
29-Jan-16,759.16
01-Feb-16,758.30
02-Feb-16,755.00
03-Feb-16,746.80
04-Feb-16,742.00
05-Feb-16,755.93
08-Feb-16,744.60
09-Feb-16,737.00
10-Feb-16,730.00
11-Feb-16,704.00
12-Feb-16,704.00
15-Feb-16,719.45
16-Feb-16,720.00
17-Feb-16,704.00
18-Feb-16,720.35
19-Feb-16,722.00
22-Feb-16,723.00
23-Feb-16,718.05
24-Feb-16,705.10
25-Feb-16,704.35
26-Feb-16,705.01
29-Feb-16,703.25
01-Mar-16,723.00
02-Mar-16,738.45
03-Mar-16,750.00
04-Mar-16,751.00
08-Mar-16,746.30
09-Mar-16,757.80
10-Mar-16,755.00
11-Mar-16,751.00
14-Mar-16,756.85
15-Mar-16,749.80
16-Mar-16,757.70
17-Mar-16,764.00
18-Mar-16,767.15
21-Mar-16,776.31
22-Mar-16,767.30
23-Mar-16,773.00
29-Mar-16,764.75
30-Mar-16,781.60
31-Mar-16,784.65
01-Apr-16,781.15
04-Apr-16,778.86
05-Apr-16,766.76
06-Apr-16,772.10
07-Apr-16,764.00
08-Apr-16,759.25
11-Apr-16,772.95
13-Apr-16,792.55
18-Apr-16,799.47
20-Apr-16,792.85
21-Apr-16,800.60
22-Apr-16,793.50
25-Apr-16,791.90
26-Apr-16,800.87
27-Apr-16,805.00
28-Apr-16,793.98
29-Apr-16,790.15
02-May-16,783.55
03-May-16,782.10
04-May-16,781.05
05-May-16,780.90
06-May-16,775.20
10-May-16,791.35
11-May-16,794.75
12-May-16,798.35
13-May-16,788.80
16-May-16,782.10
17-May-16,794.05
18-May-16,795.50
19-May-16,781.00
20-May-16,783.30
23-May-16,785.05
24-May-16,777.95
25-May-16,788.70
26-May-16,810.00
27-May-16,818.90
30-May-16,822.25
31-May-16,821.05
01-Jun-16,821.80
02-Jun-16,821.05
03-Jun-16,828.15
06-Jun-16,824.85
07-Jun-16,831.35
08-Jun-16,831.80
09-Jun-16,828.35
10-Jun-16,822.15
13-Jun-16,818.00
14-Jun-16,817.57
15-Jun-16,819.00
16-Jun-16,818.00
17-Jun-16,822.80
20-Jun-16,826.85
21-Jun-16,826.85
22-Jun-16,828.05
23-Jun-16,832.10
24-Jun-16,816.00
27-Jun-16,817.60
28-Jun-16,825.05
29-Jun-16,834.80
30-Jun-16,844.80
01-Jul-16,840.00
04-Jul-16,852.95
05-Jul-16,845.15
07-Jul-16,845.70
08-Jul-16,845.20
11-Jul-16,858.29
12-Jul-16,862.60
13-Jul-16,863.05
14-Jul-16,866.85
15-Jul-16,866.42
18-Jul-16,863.00
19-Jul-16,862.80
20-Jul-16,869.90
21-Jul-16,867.00
22-Jul-16,865.15
25-Jul-16,872.00
26-Jul-16,874.00
27-Jul-16,872.60
28-Jul-16,875.18
29-Jul-16,880.00
01-Aug-16,873.95
02-Aug-16,873.00
03-Aug-16,867.00
04-Aug-16,870.45
05-Aug-16,876.00
08-Aug-16,883.05
09-Aug-16,880.00
10-Aug-16,871.05
11-Aug-16,868.60
12-Aug-16,880.00
16-Aug-16,878.00
17-Aug-16,886.00
18-Aug-16,879.10
19-Aug-16,884.45
22-Aug-16,876.80
23-Aug-16,875.70
24-Aug-16,877.45
25-Aug-16,872.95
26-Aug-16,872.00
29-Aug-16,872.00
30-Aug-16,890.00
31-Aug-16,897.25
01-Sep-16,893.55
02-Sep-16,897.18
06-Sep-16,904.58
07-Sep-16,908.00
08-Sep-16,906.00
09-Sep-16,909.70
12-Sep-16,884.84
14-Sep-16,885.00
15-Sep-16,884.90
16-Sep-16,891.20
20-Sep-16,889.40
21-Sep-16,892.00
22-Sep-16,898.10
23-Sep-16,899.80
26-Sep-16,885.40
27-Sep-16,888.00
28-Sep-16,887.00
29-Sep-16,873.00
30-Sep-16,878.85
03-Oct-16,886.55
04-Oct-16,888.75
05-Oct-16,888.60
07-Oct-16,883.00
10-Oct-16,884.00
13-Oct-16,868.00
14-Oct-16,873.00
17-Oct-16,876.85
18-Oct-16,872.00
19-Oct-16,878.40
20-Oct-16,881.95
21-Oct-16,886.65
24-Oct-16,885.65
25-Oct-16,883.00
26-Oct-16,877.00
27-Oct-16,877.45
28-Oct-16,879.65
01-Nov-16,876.05
02-Nov-16,868.00
04-Nov-16,861.45
07-Nov-16,869.85
08-Nov-16,871.85
09-Nov-16,856.75
10-Nov-16,871.40
15-Nov-16,825.00
16-Nov-16,824.31
17-Nov-16,830.00
18-Nov-16,820.70
21-Nov-16,808.05
22-Nov-16,812.25
23-Nov-16,821.00
24-Nov-16,810.00
25-Nov-16,820.80
28-Nov-16,829.20
29-Nov-16,832.00
30-Nov-16,839.60
01-Dec-16,839.05
02-Dec-16,824.50
05-Dec-16,825.00
06-Dec-16,831.35
07-Dec-16,827.30
08-Dec-16,837.00
09-Dec-16,839.70
12-Dec-16,834.40
13-Dec-16,836.40
14-Dec-16,834.55
15-Dec-16,832.35
