Date,Total Returns Index
1-Jan-16,10598
4-Jan-16,10369.24
5-Jan-16,10360.42
6-Jan-16,10302.32
7-Jan-16,10072.45
8-Jan-16,10116.45
11-Jan-16,10066.57
12-Jan-16,9995.25
13-Jan-16,10064.62
14-Jan-16,10030.53
15-Jan-16,9898.8
18-Jan-16,9783.26
19-Jan-16,9895.18
20-Jan-16,9727.77
21-Jan-16,9685.29
22-Jan-16,9879.13
25-Jan-16,9898.28
27-Jan-16,9901.35
28-Jan-16,9883.94
29-Jan-16,10068.86
1-Feb-16,10058.69
2-Feb-16,9925.98
3-Feb-16,9801.62
4-Feb-16,9857.82
5-Feb-16,9972.05
8-Feb-16,9836.41
9-Feb-16,9717.87
10-Feb-16,9607.98
11-Feb-16,9289.29
12-Feb-16,9295.41
15-Feb-16,9537.74
16-Feb-16,9385.36
17-Feb-16,9465.52
18-Feb-16,9576.46
19-Feb-16,9601.77
22-Feb-16,9633.83
23-Feb-16,9467.41
24-Feb-16,9346.39
25-Feb-16,9282.38
26-Feb-16,9361.1
29-Feb-16,9304.26
1-Mar-16,9617.51
2-Mar-16,9812.68
3-Mar-16,9955.1
4-Mar-16,9968.09
8-Mar-16,9967.99
9-Mar-16,10029.96
10-Mar-16,9969.15
11-Mar-16,10001.18
14-Mar-16,10048.89
15-Mar-16,9944.76
16-Mar-16,9997.9
17-Mar-16,10021.13
18-Mar-16,10143.6
21-Mar-16,10278.3
22-Mar-16,10292.77
23-Mar-16,10294.93
28-Mar-16,10159.66
29-Mar-16,10135.49
30-Mar-16,10321.2
31-Mar-16,10325.5
1-Apr-16,10291.69
4-Apr-16,10352.69
5-Apr-16,10145.1
6-Apr-16,10159.98
7-Apr-16,10069.36
8-Apr-16,10081.01
11-Apr-16,10236.11
12-Apr-16,10286.18
13-Apr-16,10475.02
18-Apr-16,10560.74
20-Apr-16,10560.79
21-Apr-16,10557.22
22-Apr-16,10540.19
25-Apr-16,10481.12
26-Apr-16,10624.72
27-Apr-16,10647.74
28-Apr-16,10470.71
29-Apr-16,10474.15
2-May-16,10415.52
3-May-16,10336.97
4-May-16,10283.01
5-May-16,10322.82
6-May-16,10320.12
9-May-16,10497.09
10-May-16,10526.11
11-May-16,10474.1
12-May-16,10542.93
13-May-16,10428.78
16-May-16,10489.97
17-May-16,10530.03
18-May-16,10502.51
19-May-16,10386.75
20-May-16,10341.79
23-May-16,10316.91
24-May-16,10340.65
25-May-16,10588.92
26-May-16,10768.78
27-May-16,10884.88
30-May-16,10932.7
31-May-16,10908.07
1-Jun-16,10934.62
2-Jun-16,10986.77
3-Jun-16,10992.21
6-Jun-16,10972.45
7-Jun-16,11059.93
8-Jun-16,11068.75
9-Jun-16,10986.64
10-Jun-16,10941.7
13-Jun-16,10862.06
14-Jun-16,10859.76
15-Jun-16,10990.64
16-Jun-16,10913.97
17-Jun-16,10953.44
20-Jun-16,11045.03
21-Jun-16,11020.11
22-Jun-16,11000.82
23-Jun-16,11091.16
24-Jun-16,10847.29
27-Jun-16,10855.5
28-Jun-16,10899.91
29-Jun-16,11009.02
30-Jun-16,11121.39
1-Jul-16,11175.85
4-Jul-16,11233.09
5-Jul-16,11186.41
7-Jul-16,11192.11
8-Jul-16,11172.39
11-Jul-16,11366.82
12-Jul-16,11438.19
13-Jul-16,11436.09
14-Jul-16,11497.65
15-Jul-16,11474.04
18-Jul-16,11431.25
19-Jul-16,11457.95
20-Jul-16,11508.07
21-Jul-16,11435.64
22-Jul-16,11477.47
25-Jul-16,11606.29
26-Jul-16,11545.78
27-Jul-16,11579.64
28-Jul-16,11652.18
29-Jul-16,11614.8
1-Aug-16,11612.19
2-Aug-16,11594.65
3-Aug-16,11489.74
4-Aug-16,11498.13
5-Aug-16,11675.68
8-Aug-16,11713.58
9-Aug-16,11669.7
10-Aug-16,11532.49
