Date,NAV
1-Jan-16,2280.20
4-Jan-16,2304.70
5-Jan-16,2319.65
6-Jan-16,2333.10
7-Jan-16,2366.80
8-Jan-16,2360.70
11-Jan-16,2368.05
12-Jan-16,2363.25
13-Jan-16,2331.15
14-Jan-16,2367.15
15-Jan-16,2370.50
18-Jan-16,2385.10
19-Jan-16,2376.50
20-Jan-16,2394.40
21-Jan-16,2398.40
22-Jan-16,2386.25
25-Jan-16,2400.00
27-Jan-16,2427.45
28-Jan-16,2430.00
29-Jan-16,2423.35
1-Feb-16,2433.00
2-Feb-16,2448.55
3-Feb-16,2453.00
4-Feb-16,2471.85
5-Feb-16,2485.10
8-Feb-16,2520.25
9-Feb-16,2566.40
10-Feb-16,2539.85
11-Feb-16,2595.45
12-Feb-16,2629.70
15-Feb-16,2587.45
16-Feb-16,2602.45
17-Feb-16,2585.35
18-Feb-16,2583.85
19-Feb-16,2612.50
22-Feb-16,2588.20
23-Feb-16,2616.20
24-Feb-16,2624.30
25-Feb-16,2639.90
26-Feb-16,2635.65
29-Feb-16,2648.95
1-Mar-16,2651.55
2-Mar-16,2611.15
3-Mar-16,2626.95
4-Mar-16,2667.65
8-Mar-16,2675.65
9-Mar-16,2648.30
10-Mar-16,2631.25
11-Mar-16,2668.05
14-Mar-16,2660.10
15-Mar-16,2613.05
16-Mar-16,2606.05
17-Mar-16,2645.55
18-Mar-16,2618.90
21-Mar-16,2604.45
22-Mar-16,2604.75
23-Mar-16,2574.30
28-Mar-16,2533.75
29-Mar-16,2543.10
30-Mar-16,2569.45
31-Mar-16,2563.75
1-Apr-16,2578.85
4-Apr-16,2547.55
5-Apr-16,2590.40
6-Apr-16,2590.60
7-Apr-16,2615.55
8-Apr-16,2625.80
11-Apr-16,2628.25
12-Apr-16,2655.00
13-Apr-16,2634.60
18-Apr-16,2649.25
20-Apr-16,2656.10
21-Apr-16,2684.30
22-Apr-16,2669.80
25-Apr-16,2644.05
26-Apr-16,2645.60
27-Apr-16,2661.70
28-Apr-16,2687.50
29-Apr-16,2717.10
2-May-16,2747.60
3-May-16,2748.00
4-May-16,2720.25
5-May-16,2712.65
6-May-16,2728.25
9-May-16,2728.25
10-May-16,2717.20
11-May-16,2716.65
12-May-16,2701.65
13-May-16,2719.30
16-May-16,2732.25
17-May-16,2727.45
18-May-16,2731.30
19-May-16,2728.55
20-May-16,2722.55
23-May-16,2718.70
24-May-16,2702.10
25-May-16,2670.95
26-May-16,2686.55
27-May-16,2681.10
30-May-16,2641.90
31-May-16,2645.60
1-Jun-16,2650.15
2-Jun-16,2628.95
3-Jun-16,2627.20
6-Jun-16,2672.05
7-Jun-16,2651.25
8-Jun-16,2650.10
9-Jun-16,2663.05
10-Jun-16,2678.35
13-Jun-16,2705.85
14-Jun-16,2705.95
15-Jun-16,2700.25
16-Jun-16,2746.50
17-Jun-16,2713.60
20-Jun-16,2710.25
21-Jun-16,2713.05
22-Jun-16,2689.90
23-Jun-16,2678.85
24-Jun-16,2774.35
27-Jun-16,2802.70
28-Jun-16,2809.05
29-Jun-16,2785.40
30-Jun-16,2777.30
1-Jul-16,2801.85
4-Jul-16,2815.95
5-Jul-16,2807.65
7-Jul-16,2836.90
8-Jul-16,2833.95
11-Jul-16,2840.75
12-Jul-16,2817.40
13-Jul-16,2805.60
14-Jul-16,2798.65
15-Jul-16,2796.35
18-Jul-16,2783.60
19-Jul-16,2790.05
20-Jul-16,2784.75
21-Jul-16,2783.15
22-Jul-16,2785.50
25-Jul-16,2777.70
26-Jul-16,2791.85
27-Jul-16,2784.45
28-Jul-16,2803.75
29-Jul-16,2796.30
1-Aug-16,2845.55
2-Aug-16,2879.15
3-Aug-16,2886.70
4-Aug-16,2877.20
5-Aug-16,2910.15
8-Aug-16,2835.75
9-Aug-16,2853.95
10-Aug-16,2879.05
11-Aug-16,2866.55
12-Aug-16,2870.25
16-Aug-16,2852.05
17-Aug-16,2847.75
18-Aug-16,2864.30
19-Aug-16,2865.95
22-Aug-16,2855.00
23-Aug-16,2848.45
24-Aug-16,2852.00
25-Aug-16,2831.75
26-Aug-16,2841.55
29-Aug-16,2816.20
30-Aug-16,2814.10
31-Aug-16,2812.05
1-Sep-16,2782.40
2-Sep-16,2788.05
6-Sep-16,2804.25
7-Sep-16,2832.45
8-Sep-16,2832.05
9-Sep-16,2814.15
12-Sep-16,2839.55
14-Sep-16,2827.35
15-Sep-16,2815.00
16-Sep-16,2810.05
19-Sep-16,2825.05
20-Sep-16,2829.55
21-Sep-16,2835.10
22-Sep-16,2838.10
23-Sep-16,2840.25
26-Sep-16,2842.05
27-Sep-16,2833.85
28-Sep-16,2810.30
29-Sep-16,2849.90
30-Sep-16,2825.20
3-Oct-16,2817.90
4-Oct-16,2815.40
5-Oct-16,2789.90
6-Oct-16,2771.75
7-Oct-16,2761.70
10-Oct-16,2796.15
13-Oct-16,2756.40
14-Oct-16,2749.20
17-Oct-16,2747.40
18-Oct-16,2755.40
19-Oct-16,2745.55
20-Oct-16,2750.30
21-Oct-16,2744.70
24-Oct-16,2735.15
25-Oct-16,2726.90
26-Oct-16,2728.00
27-Oct-16,2724.40
28-Oct-16,2739.35
30-Oct-16,2784.20
1-Nov-16,2740.50
2-Nov-16,2766.90
3-Nov-16,2765.65
4-Nov-16,2772.00
7-Nov-16,2762.95
8-Nov-16,2770.85
9-Nov-16,2813.90
10-Nov-16,2801.15
11-Nov-16,2754.15
15-Nov-16,2741.05
16-Nov-16,2737.45
17-Nov-16,2704.90
18-Nov-16,2648.20
21-Nov-16,2660.35
22-Nov-16,2670.95
23-Nov-16,2674.00
24-Nov-16,2665.60
25-Nov-16,2634.30
28-Nov-16,2655.95
29-Nov-16,2654.35
30-Nov-16,2645.65
1-Dec-16,2616.20
2-Dec-16,2594.00
5-Dec-16,2583.45
6-Dec-16,2591.60
7-Dec-16,2582.20
8-Dec-16,2590.60
9-Dec-16,2573.40
12-Dec-16,2566.10
13-Dec-16,2557.90
14-Dec-16,2552.55
15-Dec-16,2529.50
16-Dec-16,2500.80
19-Dec-16,2508.70
20-Dec-16,2502.75
21-Dec-16,2501.60
22-Dec-16,2487.70
23-Dec-16,2486.30
26-Dec-16,2500.00
27-Dec-16,2525.15
28-Dec-16,2546.90
29-Dec-16,2546.65
30-Dec-16,2564.60
2-Jan-17,2558.35
3-Jan-17,2546.15
4-Jan-17,2583.25
5-Jan-17,2598.25
6-Jan-17,2598.40
9-Jan-17,2604.50
10-Jan-17,2614.80
11-Jan-17,2633.70
12-Jan-17,2651.35
13-Jan-17,2645.05
16-Jan-17,2659.20
17-Jan-17,2679.90
18-Jan-17,2685.65
19-Jan-17,2666.30
20-Jan-17,2668.80
23-Jan-17,2666.45
24-Jan-17,2666.25
25-Jan-17,2652.10
27-Jan-17,2621.50
30-Jan-17,2607.00
31-Jan-17,2630.70
1-Feb-17,2643.35
2-Feb-17,2654.50
3-Feb-17,2644.40
6-Feb-17,2653.70
7-Feb-17,2688.15
8-Feb-17,2694.25
9-Feb-17,2683.70
10-Feb-17,2653.10
13-Feb-17,2645.65
14-Feb-17,2658.40
15-Feb-17,2648.40
16-Feb-17,2668.35
17-Feb-17,2686.40
20-Feb-17,2677.45
21-Feb-17,2659.05
22-Feb-17,2687.70
23-Feb-17,2686.65
27-Feb-17,2707.80
28-Feb-17,2702.15
1-Mar-17,2693.20
2-Mar-17,2686.70
3-Mar-17,2661.85
6-Mar-17,2673.65
7-Mar-17,2656.15
8-Mar-17,2629.25
9-Mar-17,2624.60
10-Mar-17,2611.30
14-Mar-17,2595.85
15-Mar-17,2562.85
16-Mar-17,2596.25
17-Mar-17,2598.95
20-Mar-17,2605.00
21-Mar-17,2606.15
22-Mar-17,2634.80
23-Mar-17,2638.30
24-Mar-17,2633.60
27-Mar-17,2642.70
28-Mar-17,2633.20
29-Mar-17,2628.80
30-Mar-17,2626.90
31-Mar-17,2612.85
3-Apr-17,2608.25
5-Apr-17,2637.10
6-Apr-17,2639.25
7-Apr-17,2651.40
10-Apr-17,2621.05
11-Apr-17,2626.05
12-Apr-17,2660.05
13-Apr-17,2677.90
17-Apr-17,2680.45
18-Apr-17,2679.45
19-Apr-17,2668.15
20-Apr-17,2668.45
21-Apr-17,2676.85
24-Apr-17,2654.90
25-Apr-17,2649.25
26-Apr-17,2633.95
27-Apr-17,2633.30
28-Apr-17,2640.55
2-May-17,2617.85
3-May-17,2611.05
4-May-17,2580.45
5-May-17,2592.40
8-May-17,2572.05
9-May-17,2570.55
10-May-17,2567.45
11-May-17,2551.90
12-May-17,2555.55
15-May-17,2558.55
16-May-17,2561.75
17-May-17,2579.80
18-May-17,2632.50
19-May-17,2622.75
22-May-17,2618.65
23-May-17,2638.60
24-May-17,2624.00
25-May-17,2611.65
26-May-17,2630.85
29-May-17,2629.60
30-May-17,2629.35
31-May-17,2618.45
1-Jun-17,2629.15
2-Jun-17,2617.95
5-Jun-17,2653.55
6-Jun-17,2667.20
7-Jun-17,2662.95
8-Jun-17,2655.95
9-Jun-17,2635.65
12-Jun-17,2631.15
13-Jun-17,2622.45
14-Jun-17,2621.25
15-Jun-17,2616.70
16-Jun-17,2610.65
19-Jun-17,2601.65
20-Jun-17,2598.15
21-Jun-17,2606.80
22-Jun-17,2610.45
23-Jun-17,2612.30
27-Jun-17,2607.55
28-Jun-17,2599.20
29-Jun-17,2583.60
30-Jun-17,2576.90
3-Jul-17,2567.90
4-Jul-17,2543.95
