Date,NAV
01-Jan-16,203.62
04-Jan-16,200.58
05-Jan-16,201.32
06-Jan-16,199.98
07-Jan-16,195.78
08-Jan-16,197.81
11-Jan-16,197.61
12-Jan-16,194.98
13-Jan-16,193.51
14-Jan-16,191.24
15-Jan-16,188.73
18-Jan-16,182.57
19-Jan-16,183.36
20-Jan-16,181.61
21-Jan-16,178.78
22-Jan-16,182.60
25-Jan-16,183.13
27-Jan-16,182.22
28-Jan-16,182.42
29-Jan-16,185.03
01-Feb-16,186.65
02-Feb-16,183.19
03-Feb-16,179.76
04-Feb-16,179.85
05-Feb-16,182.04
08-Feb-16,182.73
09-Feb-16,179.74
10-Feb-16,177.29
11-Feb-16,171.72
12-Feb-16,172.18
15-Feb-16,183.47
16-Feb-16,173.45
17-Feb-16,174.84
18-Feb-16,173.96
19-Feb-16,174.60
22-Feb-16,175.72
23-Feb-16,173.34
24-Feb-16,171.87
25-Feb-16,171.85
26-Feb-16,172.96
29-Feb-16,172.57
01-Mar-16,179.78
02-Mar-16,180.61
03-Mar-16,181.53
04-Mar-16,183.71
08-Mar-16,182.76
09-Mar-16,183.29
10-Mar-16,182.86
11-Mar-16,183.29
14-Mar-16,184.58
15-Mar-16,183.89
16-Mar-16,181.78
17-Mar-16,181.81
18-Mar-16,183.51
21-Mar-16,185.70
22-Mar-16,187.30
23-Mar-16,186.80
28-Mar-16,184.64
29-Mar-16,184.42
30-Mar-16,188.07
31-Mar-16,188.14
01-Apr-16,189.55
04-Apr-16,189.75
05-Apr-16,186.74
06-Apr-16,187.15
07-Apr-16,187.56
08-Apr-16,188.24
11-Apr-16,190.09
12-Apr-16,191.01
13-Apr-16,193.48
18-Apr-16,194.38
20-Apr-16,195.54
21-Apr-16,194.09
22-Apr-16,195.22
25-Apr-16,193.87
26-Apr-16,195.75
27-Apr-16,195.52
28-Apr-16,193.57
29-Apr-16,193.88
02-May-16,197.74
03-May-16,197.08
04-May-16,194.07
05-May-16,192.94
06-May-16,194.11
09-May-16,196.41
10-May-16,196.18
11-May-16,197.52
12-May-16,198.50
13-May-16,196.56
16-May-16,196.24
17-May-16,195.94
18-May-16,194.96
19-May-16,193.34
20-May-16,192.60
23-May-16,192.15
24-May-16,191.58
25-May-16,193.02
26-May-16,195.62
27-May-16,198.53
30-May-16,198.67
31-May-16,198.04
01-Jun-16,199.17
02-Jun-16,199.15
03-Jun-16,199.22
06-Jun-16,198.04
07-Jun-16,199.86
08-Jun-16,199.49
09-Jun-16,199.72
10-Jun-16,199.34
13-Jun-16,197.79
14-Jun-16,198.31
15-Jun-16,199.96
16-Jun-16,198.87
17-Jun-16,198.47
20-Jun-16,198.83
21-Jun-16,200.87
22-Jun-16,200.30
23-Jun-16,200.43
24-Jun-16,199.70
27-Jun-16,199.32
28-Jun-16,202.73
29-Jun-16,203.67
30-Jun-16,205.93
01-Jul-16,208.66
04-Jul-16,211.49
05-Jul-16,210.02
07-Jul-16,211.10
08-Jul-16,211.37
11-Jul-16,213.80
12-Jul-16,215.03
13-Jul-16,215.23
14-Jul-16,216.09
15-Jul-16,219.14
18-Jul-16,216.10
19-Jul-16,216.29
20-Jul-16,217.60
21-Jul-16,217.23
22-Jul-16,220.07
25-Jul-16,223.12
26-Jul-16,222.17
27-Jul-16,223.68
28-Jul-16,225.12
29-Jul-16,225.41
01-Aug-16,225.35
02-Aug-16,225.49
03-Aug-16,221.36
04-Aug-16,221.53
05-Aug-16,225.87
08-Aug-16,227.56
09-Aug-16,225.91
10-Aug-16,224.34
11-Aug-16,225.32
12-Aug-16,225.20
16-Aug-16,227.05
17-Aug-16,228.96
18-Aug-16,229.85
19-Aug-16,230.89
22-Aug-16,229.03
23-Aug-16,227.66
24-Aug-16,229.77
25-Aug-16,229.17
26-Aug-16,228.57
29-Aug-16,229.09
30-Aug-16,231.87
31-Aug-16,230.88
01-Sep-16,231.13
02-Sep-16,231.93
06-Sep-16,235.53
07-Sep-16,235.39
08-Sep-16,235.87
09-Sep-16,235.34
12-Sep-16,229.70
14-Sep-16,230.94
15-Sep-16,231.16
16-Sep-16,231.98
19-Sep-16,231.14
20-Sep-16,232.22
21-Sep-16,230.48
22-Sep-16,233.34
23-Sep-16,234.89
26-Sep-16,233.73
27-Sep-16,233.02
28-Sep-16,234.93
29-Sep-16,227.36
30-Sep-16,230.08
03-Oct-16,236.41
04-Oct-16,237.99
05-Oct-16,238.00
06-Oct-16,237.98
07-Oct-16,238.02
10-Oct-16,239.49
13-Oct-16,234.28
14-Oct-16,235.64
17-Oct-16,234.06
18-Oct-16,238.01
19-Oct-16,237.93
20-Oct-16,237.40
21-Oct-16,238.25
24-Oct-16,237.56
25-Oct-16,238.36
26-Oct-16,236.44
27-Oct-16,234.60
28-Oct-16,237.90
30-Oct-16,237.46
01-Nov-16,239.50
02-Nov-16,235.28
03-Nov-16,233.88
04-Nov-16,230.30
07-Nov-16,230.57
08-Nov-16,232.85
09-Nov-16,227.40
10-Nov-16,231.81
11-Nov-16,225.54
15-Nov-16,211.59
16-Nov-16,215.31
17-Nov-16,214.82
