Date,NAV
01-Jan-16,805.06
04-Jan-16,790.31
05-Jan-16,789.81
06-Jan-16,785.16
07-Jan-16,768.92
08-Jan-16,770.63
11-Jan-16,766.72
12-Jan-16,761.98
13-Jan-16,766.27
14-Jan-16,762.17
15-Jan-16,755.06
18-Jan-16,745.65
19-Jan-16,752.11
20-Jan-16,740.02
21-Jan-16,737.93
22-Jan-16,753.06
25-Jan-16,754.19
27-Jan-16,752.65
28-Jan-16,750.54
29-Jan-16,762.29
01-Feb-16,764.14
02-Feb-16,755.96
03-Feb-16,743.55
04-Feb-16,747.59
05-Feb-16,756.16
08-Feb-16,746.87
09-Feb-16,736.84
10-Feb-16,731.73
11-Feb-16,708.40
12-Feb-16,707.73
15-Feb-16,723.27
16-Feb-16,713.97
17-Feb-16,718.48
18-Feb-16,726.40
19-Feb-16,728.18
22-Feb-16,730.98
23-Feb-16,719.10
24-Feb-16,712.73
25-Feb-16,707.32
26-Feb-16,713.15
29-Feb-16,708.38
01-Mar-16,729.01
02-Mar-16,746.45
03-Mar-16,754.26
04-Mar-16,758.14
08-Mar-16,757.21
09-Mar-16,761.00
10-Mar-16,756.73
11-Mar-16,758.94
14-Mar-16,765.19
15-Mar-16,757.23
16-Mar-16,761.02
17-Mar-16,761.60
18-Mar-16,769.77
21-Mar-16,780.10
22-Mar-16,785.62
23-Mar-16,784.74
28-Mar-16,779.82
29-Mar-16,773.09
30-Mar-16,785.38
31-Mar-16,791.27
01-Apr-16,781.51
04-Apr-16,786.23
05-Apr-16,772.54
06-Apr-16,772.86
07-Apr-16,764.87
08-Apr-16,767.57
11-Apr-16,778.41
12-Apr-16,780.87
13-Apr-16,793.30
18-Apr-16,800.37
20-Apr-16,801.15
21-Apr-16,800.43
22-Apr-16,799.14
25-Apr-16,794.94
26-Apr-16,806.31
27-Apr-16,806.90
28-Apr-16,794.66
29-Apr-16,795.17
02-May-16,791.24
03-May-16,786.55
04-May-16,781.70
05-May-16,787.31
06-May-16,785.54
09-May-16,796.73
10-May-16,798.32
11-May-16,793.59
12-May-16,799.08
13-May-16,790.23
16-May-16,798.04
17-May-16,798.45
18-May-16,795.86
19-May-16,788.19
20-May-16,787.09
23-May-16,784.56
24-May-16,784.13
25-May-16,802.35
26-May-16,815.15
27-May-16,824.34
30-May-16,827.58
31-May-16,826.68
01-Jun-16,828.85
02-Jun-16,834.99
03-Jun-16,832.27
06-Jun-16,831.02
07-Jun-16,838.04
08-Jun-16,840.53
09-Jun-16,833.80
10-Jun-16,831.23
13-Jun-16,826.02
14-Jun-16,826.72
15-Jun-16,831.92
16-Jun-16,829.19
17-Jun-16,829.07
20-Jun-16,836.31
21-Jun-16,833.58
22-Jun-16,832.62
23-Jun-16,839.56
24-Jun-16,824.88
27-Jun-16,824.49
28-Jun-16,824.67
29-Jun-16,832.67
30-Jun-16,842.88
01-Jul-16,845.28
04-Jul-16,850.89
05-Jul-16,846.46
07-Jul-16,847.11
08-Jul-16,845.44
11-Jul-16,860.19
12-Jul-16,865.32
13-Jul-16,865.48
14-Jul-16,869.44
15-Jul-16,868.04
18-Jul-16,865.04
19-Jul-16,866.75
20-Jul-16,871.49
21-Jul-16,865.76
22-Jul-16,869.22
25-Jul-16,879.56
26-Jul-16,875.86
27-Jul-16,876.96
28-Jul-16,881.18
29-Jul-16,881.11
01-Aug-16,879.69
02-Aug-16,879.53
03-Aug-16,870.56
04-Aug-16,872.16
05-Aug-16,883.87
08-Aug-16,886.67
09-Aug-16,883.36
10-Aug-16,876.08
11-Aug-16,874.71
12-Aug-16,880.64
16-Aug-16,880.32
17-Aug-16,877.18
18-Aug-16,882.58
19-Aug-16,882.65
22-Aug-16,878.13
23-Aug-16,878.64
24-Aug-16,880.74
25-Aug-16,877.47
26-Aug-16,873.72
29-Aug-16,876.40
