Date,Previous Close,Close Price,return,Traded Volume,Deliverable Qty,Next_day_return,Next_day_direction
16-Apr-18,938.85,937.05,-0.001917239,4084450,2628073,0.007683688,1
17-Apr-18,937.05,944.25,0.007683688,4388713,2792594,-0.00661901,0
18-Apr-18,944.25,938,-0.00661901,3365196,2111686,0.004584222,1
19-Apr-18,938,942.3,0.004584222,4481413,2947293,-0.015281757,0
20-Apr-18,942.3,927.9,-0.015281757,3349519,1740154,0.008729389,1
23-Apr-18,927.9,936,0.008729389,3508515,1921427,0.036378205,1
24-Apr-18,936,970.05,0.036378205,9107264,3460005,0.000463894,1
25-Apr-18,970.05,970.5,0.000463894,6436620,2040807,0.004997424,1
26-Apr-18,970.5,975.35,0.004997424,15588001,8531489,0.021479469,1
27-Apr-18,975.35,996.3,0.021479469,11666267,4260032,-0.033122553,0
30-Apr-18,996.3,963.3,-0.033122553,8871802,3221915,0.009758123,1
02-May-18,963.3,972.7,0.009758123,6117761,3572199,-0.011411535,0
03-May-18,972.7,961.6,-0.011411535,3947546,1962554,-0.007955491,0
04-May-18,961.6,953.95,-0.007955491,3795692,2179011,0.017873054,1
07-May-18,953.95,971,0.017873054,3512532,1558672,-0.004016478,0
08-May-18,971,967.1,-0.004016478,4934036,2886310,0.009926585,1
09-May-18,967.1,976.7,0.009926585,4494423,2151911,0.004556158,1
10-May-18,976.7,981.15,0.004556158,4014645,2062636,0.008255618,1
11-May-18,981.15,989.25,0.008255618,4011516,1936607,-0.002678797,0
14-May-18,989.25,986.6,-0.002678797,2579561,1192913,-0.007753902,0
15-May-18,986.6,978.95,-0.007753902,4800923,2160312,-0.02329026,0
16-May-18,978.95,956.15,-0.02329026,8613363,4335906,-0.011295299,0
17-May-18,956.15,945.35,-0.011295299,4733477,2896065,-0.012164807,0
18-May-18,945.35,933.85,-0.012164807,5230037,2639728,-0.002677089,0
21-May-18,933.85,931.35,-0.002677089,6624893,3776097,-0.004939067,0
22-May-18,931.35,926.75,-0.004939067,5170585,2425892,-0.015646075,0
23-May-18,926.75,912.25,-0.015646075,4567562,2429374,0.003946287,1
24-May-18,912.25,915.85,0.003946287,5317983,2683128,0.005404815,1
25-May-18,915.85,920.8,0.005404815,8129520,4874804,-0.000434405,0
28-May-18,920.8,920.4,-0.000434405,5197835,2438491,-0.003205128,0
29-May-18,920.4,917.45,-0.003205128,8173396,5810543,-0.00147147,0
30-May-18,917.45,916.1,-0.00147147,5991222,3269611,0.005730815,1
31-May-18,916.1,921.35,0.005730815,16951801,13107087,0.009985348,1
01-Jun-18,921.35,930.55,0.009985348,8765835,4890383,0.011068723,1
04-Jun-18,930.55,940.85,0.011068723,5600357,2937842,0.007227507,1
05-Jun-18,940.85,947.65,0.007227507,7971524,4928650,0.007122883,1
06-Jun-18,947.65,954.4,0.007122883,4189483,2708703,0.017759849,1
07-Jun-18,954.4,971.35,0.017759849,6857300,4501975,0.013383435,1
08-Jun-18,971.35,984.35,0.013383435,6532599,3812961,-0.001727028,0
11-Jun-18,984.35,982.65,-0.001727028,6866053,4298747,0.014756017,1
12-Jun-18,982.65,997.15,0.014756017,7445221,4766496,0.005365291,1
13-Jun-18,997.15,1002.5,0.005365291,5926020,2871545,0.005436409,1
14-Jun-18,1002.5,1007.95,0.005436409,5484867,2218107,0.006200704,1
15-Jun-18,1007.95,1014.2,0.006200704,11294702,6385232,0.001331098,1
18-Jun-18,1014.2,1015.55,0.001331098,5652374,3492837,-0.019201418,0
19-Jun-18,1015.55,996.05,-0.019201418,6346101,3674239,0.023292003,1
